iso3c,n,missing,location,actual
ABW,44,0.681818181818182,Aruba,0.318181818181818
ADO,44,0.636363636363636,Andorra,0.363636363636364
AFG,44,0,Afghanistan,1
AGO,44,0,Angola,1
AIA,44,0.795454545454545,Anguilla,0.204545454545455
ALB,44,0.0227272727272727,Albania,0.977272727272727
ANT,44,0.795454545454545,Netherlands Antilles,0.204545454545455
ARE,44,0.0454545454545455,United Arab Emirates,0.954545454545455
ARG,44,0.0227272727272727,Argentina,0.977272727272727
ARM,44,0,Armenia,1
ASM,44,0.704545454545455,American Samoa,0.295454545454545
ATG,44,0.431818181818182,Antigua & Barbuda,0.568181818181818
AUS,44,0,Australia,1
AUT,44,0,Austria,1
AZE,44,0.0227272727272727,Azerbaijan,0.977272727272727
BDI,44,0,Burundi,1
BEL,44,0,Belgium,1
BEN,44,0,Benin,1
BFA,44,0.0227272727272727,Burkina Faso,0.977272727272727
BGD,44,0,Bangladesh,1
BGR,44,0.0227272727272727,Bulgaria,0.977272727272727
BHR,44,0.0681818181818182,Bahrain,0.931818181818182
BHS,44,0.340909090909091,Bahamas,0.659090909090909
BIH,44,0.0227272727272727,Bosnia & Herzegovina,0.977272727272727
BLR,44,0.0454545454545455,Belarus,0.954545454545455
BLZ,44,0.340909090909091,Belize,0.659090909090909
BMU,44,0.681818181818182,Bermuda,0.318181818181818
BOL,44,0,Bolivia,1
BRA,44,0,Brazil,1
BRB,44,0.113636363636364,Barbados,0.886363636363636
BRN,44,0.295454545454545,Brunei,0.704545454545455
BTN,44,0.0681818181818182,Bhutan,0.931818181818182
BWA,44,0.0681818181818182,Botswana,0.931818181818182
CAF,44,0.0227272727272727,Central African Republic,0.977272727272727
CAN,44,0,Canada,1
CHE,44,0,Switzerland,1
CHI,44,0.840909090909091,Channel Islands,0.159090909090909
CHL,44,0,Chile,1
CHN,44,0.0454545454545455,China,0.954545454545455
CIV,44,0.0227272727272727,Côte d’Ivoire,0.977272727272727
CMR,44,0,Cameroon,1
COD,44,0.0454545454545455,Congo - Kinshasa,0.954545454545455
COG,44,0.0681818181818182,Congo - Brazzaville,0.931818181818182
COK,44,0.772727272727273,Cook Islands,0.227272727272727
COL,44,0,Colombia,1
COM,44,0.113636363636364,Comoros,0.886363636363636
CPV,44,0.0681818181818182,Cape Verde,0.931818181818182
CRI,44,0,Costa Rica,1
CUB,44,0.0681818181818182,Cuba,0.931818181818182
CUW,44,0.863636363636364,Curaçao,0.136363636363636
CYM,44,0.75,Cayman Islands,0.25
CYP,44,0,Cyprus,1
CZE,44,0,Czechia,1
DEU,44,0,Germany,1
DJI,44,0.113636363636364,Djibouti,0.886363636363636
DMA,44,0.409090909090909,Dominica,0.590909090909091
DNK,44,0,Denmark,1
DOM,44,0,Dominican Republic,1
DZA,44,0.0227272727272727,Algeria,0.977272727272727
ECU,44,0,Ecuador,1
EGY,44,0.0227272727272727,Egypt,0.977272727272727
ERI,44,0.113636363636364,Eritrea,0.886363636363636
ESP,44,0,Spain,1
EST,44,0,Estonia,1
ETH,44,0.0227272727272727,Ethiopia,0.977272727272727
FIN,44,0,Finland,1
FJI,44,0.113636363636364,Fiji,0.886363636363636
FLK,44,0.977272727272727,Falkland Islands,0.0227272727272727
FRA,44,0,France,1
FRO,44,0.886363636363636,Faroe Islands,0.113636363636364
FSM,44,0.454545454545455,Micronesia (Federated States of),0.545454545454545
GAB,44,0.0454545454545455,Gabon,0.954545454545455
GBR,44,0,United Kingdom,1
GEO,44,0,Georgia,1
GGY,44,0.977272727272727,Guernsey,0.0227272727272727
GHA,44,0,Ghana,1
GIB,44,0.886363636363636,Gibraltar,0.113636363636364
GIN,44,0.0681818181818182,Guinea,0.931818181818182
GLP,44,0.909090909090909,Guadeloupe,0.0909090909090909
GMB,44,0.0454545454545455,Gambia,0.954545454545455
GNB,44,0.0909090909090909,Guinea-Bissau,0.909090909090909
GNQ,44,0.113636363636364,Equatorial Guinea,0.886363636363636
GRC,44,0,Greece,1
GRD,44,0.409090909090909,Grenada,0.590909090909091
GRL,44,0.704545454545455,Greenland,0.295454545454545
GTM,44,0,Guatemala,1
GUF,44,0.818181818181818,French Guiana,0.181818181818182
GUM,44,0.659090909090909,Guam,0.340909090909091
GUY,44,0.0454545454545455,Guyana,0.954545454545455
HKG,44,0.363636363636364,Hong Kong SAR China,0.636363636363636
HND,44,0,Honduras,1
HRV,44,0.0227272727272727,Croatia,0.977272727272727
HTI,44,0,Haiti,1
HUN,44,0,Hungary,1
IDN,44,0,Indonesia,1
IMN,44,0.818181818181818,Isle of Man,0.181818181818182
IND,44,0,India,1
IRL,44,0,Ireland,1
IRN,44,0,Iran,1
IRQ,44,0,Iraq,1
ISL,44,0,Iceland,1
ISR,44,0,Israel,1
ITA,44,0,Italy,1
JAM,44,0.0227272727272727,Jamaica,0.977272727272727
JEY,44,0.818181818181818,Jersey,0.181818181818182
JOR,44,0.0227272727272727,Jordan,0.977272727272727
JPN,44,0,Japan,1
KAZ,44,0,Kazakhstan,1
KEN,44,0,Kenya,1
KGZ,44,0.0227272727272727,Kyrgyzstan,0.977272727272727
KHM,44,0,Cambodia,1
KIR,44,0.409090909090909,Kiribati,0.590909090909091
KNA,44,0.477272727272727,St. Kitts & Nevis,0.522727272727273
KOR,44,0.0227272727272727,South Korea,0.977272727272727
KWT,44,0.0681818181818182,Kuwait,0.931818181818182
LAO,44,0.0227272727272727,Laos,0.977272727272727
LBN,44,0.0227272727272727,Lebanon,0.977272727272727
LBR,44,0.0227272727272727,Liberia,0.977272727272727
LBY,44,0.113636363636364,Libya,0.886363636363636
LCA,44,0.318181818181818,St. Lucia,0.681818181818182
LIE,44,0.545454545454545,Liechtenstein,0.454545454545455
LKA,44,0,Sri Lanka,1
LSO,44,0.0454545454545455,Lesotho,0.954545454545455
LTU,44,0,Lithuania,1
LUX,44,0.0681818181818182,Luxembourg,0.931818181818182
LVA,44,0,Latvia,1
MAC,44,0.636363636363636,Macao SAR China,0.363636363636364
MAF,44,0.909090909090909,Saint Martin (French part),0.0909090909090909
MAR,44,0.0227272727272727,Morocco,0.977272727272727
MCO,44,0.727272727272727,Monaco,0.272727272727273
MDA,44,0.0227272727272727,Moldova,0.977272727272727
MDG,44,0.0454545454545455,Madagascar,0.954545454545455
MDV,44,0.0681818181818182,Maldives,0.931818181818182
MEX,44,0,Mexico,1
MHL,44,0.5,Marshall Islands,0.5
MKD,44,0.0227272727272727,North Macedonia,0.977272727272727
MLI,44,0.0227272727272727,Mali,0.977272727272727
MLT,44,0.0909090909090909,Malta,0.909090909090909
MMR,44,0,Myanmar (Burma),1
MNE,44,0.0681818181818182,Montenegro,0.931818181818182
MNG,44,0.0227272727272727,Mongolia,0.977272727272727
MNP,44,0.840909090909091,Northern Mariana Islands,0.159090909090909
MOZ,44,0.0227272727272727,Mozambique,0.977272727272727
MRT,44,0.0454545454545455,Mauritania,0.954545454545455
MSR,44,0.909090909090909,Montserrat,0.0909090909090909
MTQ,44,0.818181818181818,Martinique,0.181818181818182
MUS,44,0.0227272727272727,Mauritius,0.977272727272727
MWI,44,0.0227272727272727,Malawi,0.977272727272727
MYS,44,0.0227272727272727,Malaysia,0.977272727272727
MYT,44,0.931818181818182,Mayotte,0.0681818181818182
NAM,44,0,Namibia,1
NCL,44,0.840909090909091,New Caledonia,0.159090909090909
NER,44,0.0227272727272727,Niger,0.977272727272727
NGA,44,0.0454545454545455,Nigeria,0.954545454545455
NIC,44,0,Nicaragua,1
NIU,44,0.818181818181818,Niue,0.181818181818182
NLD,44,0,Netherlands,1
NOR,44,0,Norway,1
NPL,44,0,Nepal,1
NRU,44,0.522727272727273,Nauru,0.477272727272727
NZL,44,0,New Zealand,1
OMN,44,0.0681818181818182,Oman,0.931818181818182
PAK,44,0,Pakistan,1
PAN,44,0.0227272727272727,Panama,0.977272727272727
PER,44,0,Peru,1
PHL,44,0,Philippines,1
PLW,44,0.522727272727273,Palau,0.477272727272727
PNG,44,0.0454545454545455,Papua New Guinea,0.954545454545455
POL,44,0,Poland,1
PRI,44,0.636363636363636,Puerto Rico,0.363636363636364
PRK,44,0.25,North Korea,0.75
PRT,44,0,Portugal,1
PRY,44,0,Paraguay,1
PSE,44,0.272727272727273,Palestinian Territories,0.727272727272727
PYF,44,0.863636363636364,French Polynesia,0.136363636363636
QAT,44,0.0227272727272727,Qatar,0.977272727272727
REU,44,0.795454545454545,Réunion,0.204545454545455
ROM,44,0.0227272727272727,Romania,0.977272727272727
RUS,44,0.0227272727272727,Russia,0.977272727272727
RWA,44,0,Rwanda,1
SAU,44,0.0454545454545455,Saudi Arabia,0.954545454545455
SDN,44,0.0454545454545455,Sudan,0.954545454545455
SEN,44,0.0227272727272727,Senegal,0.977272727272727
SGP,44,0,Singapore,1
SHN,44,0.931818181818182,St. Helena,0.0681818181818182
SLB,44,0.159090909090909,Solomon Islands,0.840909090909091
SLE,44,0.0227272727272727,Sierra Leone,0.977272727272727
SLV,44,0,El Salvador,1
SMR,44,0.704545454545455,San Marino,0.295454545454545
SOM,44,0.181818181818182,Somalia,0.818181818181818
SPM,44,0.931818181818182,St. Pierre & Miquelon,0.0681818181818182
SRB,44,0.0454545454545455,Serbia,0.954545454545455
SSD,44,0.113636363636364,South Sudan,0.886363636363636
STP,44,0.0909090909090909,São Tomé & Príncipe,0.909090909090909
SUR,44,0.113636363636364,Suriname,0.886363636363636
SVK,44,0,Slovakia,1
SVN,44,0,Slovenia,1
SWE,44,0,Sweden,1
SWZ,44,0.0454545454545455,Eswatini,0.954545454545455
SXM,44,0.931818181818182,Sint Maarten,0.0681818181818182
SYC,44,0.181818181818182,Seychelles,0.818181818181818
SYR,44,0.159090909090909,Syria,0.840909090909091
TCA,44,0.863636363636364,Turks & Caicos Islands,0.136363636363636
TCD,44,0.0454545454545455,Chad,0.954545454545455
TGO,44,0.0227272727272727,Togo,0.977272727272727
THA,44,0,Thailand,1
TJK,44,0.0227272727272727,Tajikistan,0.977272727272727
TKM,44,0.0909090909090909,Turkmenistan,0.909090909090909
TLS,44,0.0454545454545455,Timor-Leste,0.954545454545455
TON,44,0.386363636363636,Tonga,0.613636363636364
TTO,44,0.0227272727272727,Trinidad & Tobago,0.977272727272727
TUN,44,0,Tunisia,1
TUR,44,0,Turkey,1
TUV,44,0.477272727272727,Tuvalu,0.522727272727273
TWN,44,0.409090909090909,Taiwan,0.590909090909091
TZA,44,0,Tanzania,1
UGA,44,0,Uganda,1
UKR,44,0.0227272727272727,Ukraine,0.977272727272727
URY,44,0,Uruguay,1
USA,44,0,United States,1
UZB,44,0.0454545454545455,Uzbekistan,0.954545454545455
VAT,44,0.909090909090909,Vatican City,0.0909090909090909
VCT,44,0.363636363636364,St. Vincent & Grenadines,0.636363636363636
VEN,44,0.0227272727272727,Venezuela,0.977272727272727
VGB,44,0.909090909090909,British Virgin Islands,0.0909090909090909
VIR,44,0.659090909090909,U.S. Virgin Islands,0.340909090909091
VNM,44,0.0227272727272727,Vietnam,0.977272727272727
VUT,44,0.204545454545455,Vanuatu,0.795454545454545
