iso3c,Economic,Environmental,Political,Security,Societal,fragility.level
Yemen,Extreme,Extreme,Extreme,Extreme,Extreme,Extremely Fragile
Somalia,Extreme,Extreme,Extreme,Extreme,Extreme,Extremely Fragile
Congo - Kinshasa,High,Extreme,Extreme,High,Extreme,Extremely Fragile
Chad,High,Extreme,Extreme,High,Extreme,Extremely Fragile
Burundi,High,Extreme,Extreme,High,Extreme,Extremely Fragile
Haiti,High,Extreme,High,Moderate,High,Extremely Fragile
Guinea-Bissau,High,Extreme,High,Moderate,High,Fragile
Comoros,High,Extreme,High,Moderate,High,Fragile
Mozambique,High,Extreme,Low,High,High,Fragile
Niger,High,Extreme,Low,High,High,Fragile
Burkina Faso,High,Extreme,Low,High,High,Fragile
Zambia,High,Extreme,Low,Low,High,Fragile
Eswatini,High,Extreme,Low,Low,High,Fragile
Malawi,High,Extreme,Low,Low,High,Rest of the World
Uganda,High,Extreme,Low,Moderate,High,Fragile
Madagascar,High,Extreme,Low,Moderate,High,Fragile
Liberia,High,Extreme,Low,Moderate,High,Fragile
Sierra Leone,High,Extreme,Low,Moderate,High,Fragile
Lesotho,High,Extreme,Low,Moderate,High,Fragile
Tanzania,High,Extreme,Low,Moderate,High,Fragile
Gambia,High,Extreme,Low,Moderate,High,Fragile
Zimbabwe,High,Extreme,Moderate,Low,High,Fragile
Rwanda,High,Extreme,Moderate,Low,High,Rest of the World
Papua New Guinea,High,High,Low,Moderate,High,Fragile
Solomon Islands,High,High,Low,Moderate,High,Fragile
Honduras,High,Moderate,Low,Moderate,High,Fragile
Guatemala,High,Moderate,Low,Moderate,High,Fragile
Gabon,High,Moderate,Low,Moderate,High,Rest of the World
Guyana,High,Moderate,Minor,Low,Low,Rest of the World
Suriname,High,Moderate,Minor,Low,Low,Rest of the World
São Tomé & Príncipe,High,Moderate,Minor,Low,Low,Rest of the World
Armenia,Low,Low,Low,Low,Low,Rest of the World
North Macedonia,Low,Low,Low,Low,Low,Rest of the World
Bosnia & Herzegovina,Low,Low,Low,Minor,Low,Rest of the World
Montenegro,Low,Low,Low,Minor,Low,Rest of the World
Tunisia,Low,Low,Minor,Low,Low,Rest of the World
Georgia,Low,Low,Minor,Low,Low,Rest of the World
Italy,Low,Low,Minor,Minor,Minor,Rest of the World
Spain,Low,Low,Minor,Minor,Minor,Rest of the World
Egypt,Low,Moderate,Moderate,High,Extreme,Rest of the World
Turkey,Low,Moderate,Moderate,High,Extreme,Rest of the World
Israel,Minor,Low,Minor,Low,Low,Rest of the World
United States,Minor,Low,Minor,Low,Low,Rest of the World
Chile,Minor,Low,Minor,Minor,Low,Rest of the World
Romania,Minor,Low,Minor,Minor,Low,Rest of the World
Bulgaria,Minor,Low,Minor,Minor,Low,Rest of the World
Hungary,Minor,Low,Minor,Minor,Low,Rest of the World
Croatia,Minor,Low,Minor,Minor,Low,Rest of the World
Singapore,Minor,Low,Minor,Minor,Low,Rest of the World
Australia,Minor,Low,Minor,Minor,Low,Rest of the World
Cyprus,Minor,Low,Minor,Minor,Minor,Rest of the World
Poland,Minor,Low,Minor,Minor,Minor,Rest of the World
Slovakia,Minor,Low,Minor,Minor,Minor,Rest of the World
Japan,Minor,Low,Minor,Minor,Minor,Rest of the World
