iso3c,country,variablename,dimension,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,Afghanistan,Access to justice,Societal,,,,,,,,,0.167,
AFG,Afghanistan,Aid dependency,Economic,,,,,,,,,4.8,
AFG,Afghanistan,Armed security officers,Security,,,,,,,,,,1.727
AFG,Afghanistan,Battle-related deaths,Security,,,,,,,,,4.25031425851903,
AFG,Afghanistan,Clientelism,Political,,,,,,,,,0.685,
AFG,Afghanistan,Conflict risk,Security,,,,,,,,,10,
AFG,Afghanistan,Control over territory,Security,,,,,,,,,51.75,
AFG,Afghanistan,Corruption,Political,,,,,,,,,16,
AFG,Afghanistan,Debt,Economic,,,,,,,,,6.894,
AFG,Afghanistan,Disaster risk,Environmental,,,,,,,,,6.5,
AFG,Afghanistan,Education,Economic,,,,,,,,,0.413,
AFG,Afghanistan,Environmental performance,Environmental,,,,,,,,,37.74,
AFG,Afghanistan,Food insecurity,Economic,,,,,,,,,7.8,
AFG,Afghanistan,Food insecurity,Environmental,,,,,,,,,7.8,
AFG,Afghanistan,Formal alliances,Security,,,,,,,1,,,
AFG,Afghanistan,GDP growth,Economic,,,,,,,,,-1.35017833585495,
AFG,Afghanistan,Gender discrimination,Security,,,,,,,,39.8,,
AFG,Afghanistan,Gender inequality,Societal,,,,,,,,,0.575,
AFG,Afghanistan,GINI,Societal,,,,,,,,27.7999992370605,,
AFG,Afghanistan,Government effectiveness,Environmental,,,,,,,,,-1.457285,
AFG,Afghanistan,Government effectiveness,Political,,,,,,,,,-1.457285,
AFG,Afghanistan,Homicide rate,Security,,,,,,,,7.1,,
AFG,Afghanistan,Horizontal inequality,Societal,,,,,,,,,-0.459,
AFG,Afghanistan,Impact of terrorism,Security,,,,,,,,,9.603,
AFG,Afghanistan,Infectious diseases,Environmental,,,,,,,,140.287254866171,,
AFG,Afghanistan,Judicial constraints,Political,,,,,,,,,0.531,
AFG,Afghanistan,Legislative constraints,Political,,,,,,,,,0.715,
AFG,Afghanistan,NEET,Economic,,,,,,,,42.01,,
AFG,Afghanistan,Non-state and one-sided violence,Security,,,,,,,,,2.41507636112564,
AFG,Afghanistan,Physical integrity,Political,,,,,,,,,0.549,
AFG,Afghanistan,Police officers,Security,,,,,,,,,,3.5
AFG,Afghanistan,Regional government independence,Political,,,,,,,,,0.263,
AFG,Afghanistan,Regulatory quality,Economic,,,,,,,,,-1.132634,
AFG,Afghanistan,Remoteness,Economic,,,,,,,45.9839210510254,,,
AFG,Afghanistan,Resource dependence,Economic,,,,,,,,0.693530677225669,,
AFG,Afghanistan,Rule of law,Environmental,,,,,,,,,-1.668478,
AFG,Afghanistan,Rule of law,Security,,,,,,,,,-1.668478,
AFG,Afghanistan,Share of women in labour force,Economic,,,,,,,,,,59.4791057905014
AFG,Afghanistan,Socio-economic vulnerability,Economic,,,,,,,,,7.7,
AFG,Afghanistan,Socio-economic vulnerability,Environmental,,,,,,,,,7.7,
AFG,Afghanistan,Stability,Political,,,,,,,,,-2.74673,
AFG,Afghanistan,Strength of civil society,Environmental,,,,,,,,,0.703,
AFG,Afghanistan,Strength of civil society,Societal,,,,,,,,,0.703,
AFG,Afghanistan,Unemployment rate,Economic,,,,,,,,,1.54200005531311,
AFG,Afghanistan,Uprooted people,Societal,,,,,,,,,9.6,
AFG,Afghanistan,Urbanisation,Environmental,,,,,,,,,3.35038297624495,
AFG,Afghanistan,Urbanisation,Societal,,,,,,,,,3.35038297624495,
AFG,Afghanistan,Violent crime,Security,,,,,,,3,,,
AFG,Afghanistan,Voice and accountability,Political,,,,,,,,,-0.9947197,
AFG,Afghanistan,Voice and accountability,Societal,,,,,,,,,-0.9947197,
AFG,Afghanistan,Women in parliament,Political,,,,,,,,,27.7,
AGO,Angola,Access to justice,Societal,,,,,,,,,0.508,
AGO,Angola,Aid dependency,Economic,,,,,,,,,0.1,
AGO,Angola,Armed security officers,Security,,,,,,,,,,1.529
AGO,Angola,Battle-related deaths,Security,,,,,,,,,0.00324046590163258,
AGO,Angola,Clientelism,Political,,,,,,,,,0.59,
AGO,Angola,Conflict risk,Security,,,,,,,,,4.7,
AGO,Angola,Control over territory,Security,,,,,,,,,91.667,
AGO,Angola,Corruption,Political,,,,,,,,,19,
AGO,Angola,Debt,Economic,,,,,,,,,89,
AGO,Angola,Disaster risk,Environmental,,,,,,,,,3.2,
