"iso3c","PC1","PC2","cut","cluster","countryname"
"AFG",-3.14769000893947,-0.0318984377251157,"A","B","Afghanistan"
"AGO",-1.2786759781865,1.35323494062733,"B","D","Angola"
"ALB",0.618225746937158,-1.48840274569837,"C","E","Albania"
"ARE",1.2034227449752,0.504791965563251,"B","D","United Arab Emirates"
"ARG",0.310923057089962,-0.826628525562963,"B","D","Argentina"
"ARM",0.276031867424543,-1.85389336785933,"C","E","Armenia"
"AUS",2.96697242508905,0.634169180521558,"D","F","Australia"
"AUT",3.19398829869971,0.268079152776602,"D","F","Austria"
"AZE",0.203572778362626,1.1193113687422,"B","D","Azerbaijan"
"BDI",-2.46607573503132,2.7510382305602,"A","B","Burundi"
"BEL",2.96207880305916,-0.35849330255031,"D","F","Belgium"
"BEN",-0.194730825848138,1.43041308273246,"B","D","Benin"
"BFA",-1.75661855926623,0.985075520051376,"A","B","Burkina Faso"
"BGD",-0.598368787597144,-0.355478649545659,"B","D","Bangladesh"
"BGR",1.78947259809544,0.609293660718121,"D","F","Bulgaria"
"BHR",1.04109963470429,-0.677298693607532,"B","D","Bahrain"
"BIH",0.238258618333706,-1.83436276371378,"C","E","Bosnia and Herzegovina"
"BLR",1.42584372332151,0.340278839319352,"B","D","Belarus"
"BOL",-0.82946774315603,1.23167311643978,"B","D","Bolivia"
"BRA",0.0372765119125136,-0.994548992592519,"B","D","Brazil"
"BRB",1.35986272861073,-0.200398266433839,"B","D","Barbados"
"BRN",0.180517797966803,0.697451919267525,"B","D","Brunei Darussalam"
"BTN",-0.667377040757041,0.570451586695073,"B","D","Bhutan"
"BWA",-0.836394463721634,0.228828121802493,"B","D","Botswana"
"CAF",-3.78825637534423,0.833453133619786,"A","B","Central African Republic"
"CAN",2.95455976570892,-0.0907080706217065,"D","F","Canada"
"CHE",3.13043924365672,0.675680821530516,"D","F","Switzerland"
"CHL",1.97343321559745,0.0934826032022396,"D","F","Chile"
"CHN",1.08061628131882,0.578547884402801,"B","D","China (People’s Republic of)"
"CIV",-0.772357230034281,0.341046857924977,"B","D","Côte d’Ivoire"
"CMR",-0.308519083638979,1.06486969452937,"B","D","Cameroon"
"COD",-2.88360986144087,2.29712913578459,"A","B","Democratic Republic of the Congo"
"COG",-2.780723470407,1.26804072221275,"A","B","Congo"
"COL",0.404299795406989,-0.318962851361449,"B","D","Colombia"
"COM",-2.28045323976645,0.792931348265547,"A","B","Comoros"
"CPV",-0.839300730611479,-1.10040581839452,"E","C","Cabo Verde"
"CRI",0.639212999336402,-0.345491022084413,"B","D","Costa Rica"
"CUB",-0.299802275943436,-0.332017214660328,"B","D","Cuba"
"CYP",2.18899925323025,-0.21028557978427,"D","F","Cyprus"
"CZE",2.845100561145,0.845246598648985,"D","F","Czech Republic"
"DEU",3.33448637405221,0.532206488014093,"D","F","Germany"
"DJI",-1.42390531830695,-0.0276594038693275,"E","C","Djibouti"
"DNK",3.03578784933548,0.774885606854452,"D","F","Denmark"
"DOM",0.220347142088077,0.00122662014703392,"B","D","Dominican Republic"
"DZA",0.0680403965544238,-2.23304298679025,"C","E","Algeria"
"ECU",-0.338386341444287,0.462917115342008,"B","D","Ecuador"
"EGY",0.30587213564072,-2.64035752179486,"C","E","Egypt"
"ERI",-1.75217748123851,0.131396262944128,"E","C","Eritrea"
"ESP",2.38119863203921,-1.16041581856398,"C","E","Spain"
"EST",2.78982797268824,0.766992729241691,"D","F","Estonia"
"ETH",-1.35088828012149,1.84990588304446,"A","B","Ethiopia"
"FIN",3.10555219860036,0.236794542336353,"D","F","Finland"
"FJI",-0.0829995715049497,-0.158092066753162,"B","D","Fiji"
"FRA",2.60768124824617,-0.489517529151549,"D","F","France"
"GAB",-0.961452044964303,-1.22449941603941,"E","C","Gabon"
"GBR",3.10966843503765,0.144829535258631,"D","F","United Kingdom"
"GEO",1.42195906213737,-1.20463617299009,"C","E","Georgia"
"GHA",-0.190909116179682,0.229155624743066,"B","D","Ghana"
"GIN",-1.20349723794977,1.97237234729259,"A","B","Guinea"
"GMB",-1.67231432100928,-0.878553374789484,"E","C","Gambia"
"GNB",-2.15402788486618,1.16185761661669,"A","B","Guinea-Bissau"
"GNQ",-1.89399578880927,0.399231769508035,"A","B","Equatorial Guinea"
"GRC",2.12148810626987,-2.66663585725916,"C","E","Greece"
"GTM",-1.05328628761819,-0.051080046436405,"E","C","Guatemala"
"GUY",-1.41030677355732,-1.01575266797314,"E","C","Guyana"
"HND",-1.1638772777429,-0.174035776839002,"E","C","Honduras"
"HRV",1.90176026255035,-0.330657349353141,"D","F","Croatia"
"HTI",-2.81696197661878,0.202383590908461,"A","B","Haiti"
"HUN",2.38145457202667,0.235762694546705,"D","F","Hungary"
"IDN",0.199744505978219,0.398124870394034,"B","D","Indonesia"
"IND",-0.207484610026182,-0.974863263126589,"B","D","India"
"IRL",3.49905422168507,0.268327759968074,"D","F","Ireland"
"IRN",-0.470954568559718,-2.29128936141061,"C","E","Iran"
"IRQ",-2.89801966781471,-1.82162930130863,"F","A","Iraq"
"ISL",3.14693872539822,1.02979162494323,"D","F","Iceland"
"ISR",2.80994726335891,0.201513841665438,"D","F","Israel"
"ITA",2.13550973401903,-1.67610971707561,"C","E","Italy"
"JAM",0.228472096922302,-0.498361370802263,"B","D","Jamaica"
"JOR",-0.486271796950962,-3.37011501659444,"C","E","Jordan"
"JPN",3.06775257727767,-0.922860243626152,"D","F","Japan"
"KAZ",1.27951837899424,1.27202902853938,"B","D","Kazakhstan"
"KEN",-0.691030376082159,1.05777010292205,"B","D","Kenya"
"KGZ",-0.460300624737724,-0.563264855013937,"B","D","Kyrgyzstan"
"KHM",0.0690474254326648,2.23763561207643,"B","D","Cambodia"
"KOR",2.69528669711083,0.360783079231851,"D","F","Korea"
"KWT",-0.149060274865317,0.998913651327083,"B","D","Kuwait"
"LAO",-1.60499508954063,1.12301469611753,"A","B","Lao People’s Democratic Republic"
"LBN",-0.443427431944766,-2.66071861237975,"C","E","Lebanon"
"LBR",-2.90902706575992,2.11260195441896,"A","B","Liberia"
"LBY",-1.38755566229305,-1.95003519617526,"E","C","Libya"
"LKA",0.223061807932947,-0.991117394958774,"B","D","Sri Lanka"
"LSO",-1.91973881079927,-1.20800323432123,"E","C","Lesotho"
"LTU",2.93140356173655,0.604876055658597,"D","F","Lithuania"
"LUX",2.76451243131548,0.812811885294802,"D","F","Luxembourg"
"LVA",2.81010260771407,0.421818392125581,"D","F","Latvia"
"MAR",0.503593632730367,-2.12870000848929,"C","E","Morocco"
"MDA",0.154183554962059,0.550437043321837,"B","D","Moldova"
"MDG",-1.59950831410117,2.56332549767981,"A","B","Madagascar"
