"iso3c","PC1","PC2","cut","cluster","countryname"
"AFG",-3.21265382756254,-0.604846533779807,"A","A","Afghanistan"
"AGO",-2.55188121266397,0.942245491347762,"A","A","Angola"
"ALB",1.03809919607901,-1.11575874215719,"B","D","Albania"
"ARE",1.34457419807783,-0.726624892477714,"C","E","United Arab Emirates"
"ARG",1.23460639333576,0.0793997614420874,"C","E","Argentina"
"ARM",1.41345817899023,-0.473161157651928,"C","E","Armenia"
"AUS",2.68581320289983,0.237326542127727,"C","E","Australia"
"AUT",3.46279027238276,0.836219164331643,"D","F","Austria"
"AZE",0.445778574146216,-1.80340882471863,"B","D","Azerbaijan"
"BDI",-4.70476520105233,0.470495807495089,"A","A","Burundi"
"BEL",3.32381707060423,1.13118569612164,"D","F","Belgium"
"BEN",-1.78612839752574,1.71367475643902,"A","A","Benin"
"BFA",-2.62828664727524,2.12354394193571,"A","A","Burkina Faso"
"BGD",-2.01070337928214,-1.52101690295092,"E","B","Bangladesh"
"BGR",1.87721201385266,-0.0928918031446107,"C","E","Bulgaria"
"BHR",0.356254833366491,0.214513999367702,"F","C","Bahrain"
"BIH",0.854920656731376,-0.533440091987733,"C","E","Bosnia and Herzegovina"
"BLR",1.39029179309365,-0.725980190117346,"C","E","Belarus"
"BOL",-0.692902705234847,-0.127281409037517,"B","D","Bolivia"
"BRA",0.981253122159145,-0.0785298721112448,"C","E","Brazil"
"BRB",1.34271001759117,0.00514328651602081,"C","E","Barbados"
"BRN",1.84443247072518,0.577573446727239,"C","E","Brunei Darussalam"
"BTN",-0.478723260562561,0.587921288323669,"F","C","Bhutan"
"BWA",-0.928443775804589,1.73660283509083,"A","A","Botswana"
"CAF",-4.59466734121848,2.33694296782816,"A","A","Central African Republic"
"CAN",2.7667934506185,0.266995568433811,"C","E","Canada"
"CHE",3.69717739444721,1.26088082770011,"D","F","Switzerland"
"CHL",1.47110132746451,-0.440068272150263,"C","E","Chile"
"CHN",-0.317738855656746,-2.44512011062774,"B","D","China (People’s Republic of)"
"CIV",-1.87968464512619,1.23553453618862,"A","A","Côte d’Ivoire"
"CMR",-2.24109154427028,0.790774737177326,"A","A","Cameroon"
"COD",-4.38444379198211,0.354853444760848,"A","A","Democratic Republic of the Congo"
"COG",-3.07318377254371,0.331309481312996,"A","A","Congo"
"COL",0.587339070544836,-1.23280050147879,"B","D","Colombia"
"COM",-1.93904981082796,0.733130054304457,"A","A","Comoros"
"CPV",0.359893553137497,1.23677437360358,"F","C","Cabo Verde"
