"iso3c","PC1","PC2","cut","cluster","countryname"
"AFG",-2.20032474080722,-0.550406769178488,"A","B","Afghanistan"
"AGO",-1.85501420038473,1.02871943469775,"B","C","Angola"
"ALB",1.20547713900537,-0.605954119276709,"C","E","Albania"
"ARE",-0.669619984283282,1.72216910129042,"B","C","United Arab Emirates"
"ARG",1.69104399016125,0.353595707512963,"C","E","Argentina"
"ARM",-0.167828175687569,-0.523136732165726,"D","D","Armenia"
"AUS",3.89668489695798,0.152562303579732,"E","F","Australia"
"AUT",3.6575932779557,0.581767223004807,"E","F","Austria"
"AZE",-3.07926439889192,0.770745973873737,"B","C","Azerbaijan"
"BDI",-4.30175693715903,1.3718247361882,"F","A","Burundi"
"BEL",3.5424788481774,0.702910579914541,"E","F","Belgium"
"BEN",0.492385785665458,-1.72593052703795,"D","D","Benin"
"BFA",-0.486698974361927,-1.36444654534129,"D","D","Burkina Faso"
"BGD",-2.500593061406,0.502849653812482,"B","C","Bangladesh"
"BGR",1.38356730992395,-0.346491674838764,"C","E","Bulgaria"
"BHR",-3.1771699269655,0.499109119000277,"B","C","Bahrain"
"BIH",-0.331091614976989,-0.685276916159485,"D","D","Bosnia and Herzegovina"
"BLR",-1.12534684736758,2.49807167633906,"B","C","Belarus"
"BOL",0.649694444456443,2.14171744523288,"C","E","Bolivia"
"BRA",0.723361422023274,-1.49411519986834,"D","D","Brazil"
"BRB",1.76480987830012,-0.110443900420206,"C","E","Barbados"
"BRN",1.83293196342198,-0.529641686755591,"C","E","Brunei Darussalam"
"BTN",2.08088776476369,-1.18549235457293,"C","E","Bhutan"
"BWA",1.92945965110231,-0.85190815779268,"C","E","Botswana"
"CAF",-3.05059249981374,-1.54037240221656,"A","B","Central African Republic"
"CAN",3.79889527186834,0.250393313725416,"E","F","Canada"
"CHE",4.3428783452064,0.59244604403548,"E","F","Switzerland"
"CHL",2.60630391200937,-0.0325356877199909,"E","F","Chile"
"CHN",-2.47004670916936,1.63636714587848,"B","C","China (People’s Republic of)"
"CIV",0.227733315865012,-1.16071950323465,"D","D","Côte d’Ivoire"
"CMR",-3.16924823344138,1.03754901876571,"B","C","Cameroon"
"COD",-4.01552234212398,-0.98784962414829,"F","A","Democratic Republic of the Congo"
"COG",-3.18718278725223,-0.586314469011406,"A","B","Congo"
"COL",0.0575408364014779,-1.22086131958819,"D","D","Colombia"
"COM",-2.03166801062546,-1.08528953095563,"A","B","Comoros"
"CPV",2.28537730534004,-0.310767081330452,"C","E","Cabo Verde"
"CRI",2.71985600766133,1.26080645363732,"E","F","Costa Rica"
"CUB",-1.10211044955734,3.35045370845213,"B","C","Cuba"
"CYP",2.33863090414448,-0.321164774793288,"C","E","Cyprus"
"CZE",2.82717361391473,-0.216041010902416,"E","F","Czech Republic"
"DEU",3.73404045196269,0.263341980018127,"E","F","Germany"
"DJI",-2.23859695580228,0.977307252193918,"B","C","Djibouti"
"DNK",4.23918095758708,0.782194140700013,"E","F","Denmark"
"DOM",-0.946550882160968,0.522793657545757,"D","D","Dominican Republic"
"DZA",-2.38516276697164,1.02957711592287,"B","C","Algeria"
"ECU",1.02385398684955,0.665131151008086,"C","E","Ecuador"
"EGY",-2.399438580463,-0.0145066612834351,"B","C","Egypt"
"ERI",-3.88913455887927,1.21869239382449,"F","A","Eritrea"
"ESP",2.87780011372065,1.00375992214839,"E","F","Spain"
"EST",3.09983728980624,0.195433210045873,"E","F","Estonia"
"ETH",-1.85139317184743,1.73652984387179,"B","C","Ethiopia"
"FIN",3.87783502172951,1.41737419716132,"E","F","Finland"
"FJI",0.659827344925339,0.0712966186382959,"C","E","Fiji"
"FRA",3.31133878107963,0.911841781633531,"E","F","France"
"GAB",-1.14926388944964,-0.270036432403192,"D","D","Gabon"
"GBR",3.32275051316348,0.207997097574213,"E","F","United Kingdom"
"GEO",1.00736005723169,-0.387685354411407,"C","E","Georgia"
"GHA",0.713597148243312,-1.03638983442297,"D","D","Ghana"
"GIN",-2.80168800430881,0.501056158030386,"B","C","Guinea"
"GMB",0.345434233269722,-1.25967306192017,"D","D","Gambia"
"GNB",-1.88416345333057,-0.588392848336274,"A","B","Guinea-Bissau"
"GNQ",-3.84123817914702,0.896216245306761,"F","A","Equatorial Guinea"
"GRC",2.14744875991137,-0.70687402573221,"C","E","Greece"
"GTM",-0.674598482144719,-1.31629358933557,"D","D","Guatemala"
"GUY",0.978455125466141,0.370149488194846,"C","E","Guyana"
"HND",-1.52172333827766,-0.0772604027338303,"D","D","Honduras"
"HRV",2.26653896906039,-0.461887824725623,"C","E","Croatia"
"HTI",-3.18813585548882,-1.49230047048069,"A","B","Haiti"
"HUN",1.77584521541321,-0.759236107153312,"C","E","Hungary"
"IDN",1.04238295217477,-1.00917430229321,"D","D","Indonesia"
"IND",0.573350053067786,-1.31758726830434,"D","D","India"
"IRL",2.88499843395667,0.0914126739906531,"E","F","Ireland"
"IRN",-2.34521155560676,-0.617344706902188,"A","B","Iran"
