"iso3c","PC1","PC2","cut","cluster","countryname"
"AFG",-7.4115836861728,-2.47126112385896,"A","B","Afghanistan"
"AGO",-0.41990876278537,-0.148629722801066,"B","E","Angola"
"ALB",0.889863990817822,0.136777720369013,"B","E","Albania"
"ARE",1.87336879683307,-0.573558910295051,"C","F","United Arab Emirates"
"ARG",1.00054568620555,0.0264741837660805,"B","E","Argentina"
"ARM",0.41705507358728,-0.606840091184665,"B","E","Armenia"
"AUS",2.19309326246801,-0.859805349451358,"C","F","Australia"
"AUT",2.71516058604586,-0.94784198072959,"C","F","Austria"
"AZE",-1.08165720842371,0.350557288029765,"D","C","Azerbaijan"
"BDI",-1.02078564319791,0.415766080658319,"D","C","Burundi"
"BEL",1.52720534048313,-0.938452527871702,"C","F","Belgium"
"BEN",0.127287200707065,0.666855265489654,"B","E","Benin"
"BFA",-1.40054524465911,0.044714133530567,"D","C","Burkina Faso"
"BGD",-1.61420601418001,0.688031645583877,"D","C","Bangladesh"
"BGR",1.78024859385765,-1.14126012865824,"C","F","Bulgaria"
"BHR",1.47751870846041,-0.824087323991407,"C","F","Bahrain"
"BIH",1.00643349517535,-0.433593162774971,"C","F","Bosnia and Herzegovina"
"BLR",1.27802831490233,-0.670702983175992,"C","F","Belarus"
"BOL",-0.685949476743792,0.327415594683443,"D","C","Bolivia"
"BRA",-1.373330048698,1.44175398992911,"E","D","Brazil"
"BRB",1.8694197533932,0.196763402457181,"C","F","Barbados"
"BRN",2.16836987911294,-0.315292186850074,"C","F","Brunei Darussalam"
"BTN",1.25475107847276,-0.0167862311426909,"C","F","Bhutan"
"BWA",1.18616414371641,0.76975634026763,"B","E","Botswana"
"CAF",-5.97258484140838,-1.0291348985393,"A","B","Central African Republic"
"CAN",2.14550333421724,-1.23963958802268,"C","F","Canada"
"CHE",2.56055434626203,-0.497578436433337,"C","F","Switzerland"
"CHL",0.937221726073059,-0.553959169020549,"C","F","Chile"
"CHN",-0.15356386475624,-1.35965001111682,"B","E","China (People’s Republic of)"
"CIV",-1.32340676553819,1.31192718934309,"E","D","Côte d’Ivoire"
"CMR",-3.24383633127478,-0.405959545532486,"D","C","Cameroon"
"COD",-3.55072621150546,0.298828516548143,"D","C","Democratic Republic of the Congo"
"COG",-0.0765223279179877,0.597679927609637,"B","E","Congo"
"COL",-2.20151337641667,0.273667473852667,"D","C","Colombia"
"COM",-0.155382328320601,1.15654254992107,"E","D","Comoros"
"CPV",1.73630641440738,0.200005196198748,"C","F","Cabo Verde"
"CRI",1.07253789285926,1.11904869092529,"B","E","Costa Rica"
"CUB",1.51007847683819,0.0339371637357906,"C","F","Cuba"
"CYP",0.964290844902665,-1.14759343443181,"C","F","Cyprus"
"CZE",2.23060817023988,-0.869461991979443,"C","F","Czech Republic"
"DEU",1.67028864871214,-1.06950100801012,"C","F","Germany"
"DJI",0.317321929421843,0.314575055885426,"B","E","Djibouti"
"DNK",2.51121928606768,-0.668659671480379,"C","F","Denmark"
"DOM",0.400525110095766,0.589025961507337,"B","E","Dominican Republic"
"DZA",-0.20337733762745,-0.225757794861444,"B","E","Algeria"
"ECU",0.301195329190867,0.402689304391839,"B","E","Ecuador"
"EGY",-1.89795944197142,-1.05570941890799,"D","C","Egypt"
"ERI",0.927804782608795,-0.968534344338051,"C","F","Eritrea"
"ESP",1.77129109430993,-1.33002023326251,"C","F","Spain"
"EST",2.63509554079145,-0.969654118755844,"C","F","Estonia"
"ETH",-1.94254541685659,0.551827442853849,"D","C","Ethiopia"
"FIN",2.14212438667192,-0.621059276419003,"C","F","Finland"
"FJI",0.946902798758058,0.418651221058879,"B","E","Fiji"
"FRA",1.70875535722996,-2.3651869161476,"B","E","France"
"GAB",-0.491377672629542,1.41717421445091,"E","D","Gabon"
"GBR",1.38601225817912,-0.798079340912489,"C","F","United Kingdom"
"GEO",0.400735354474491,-0.57233544027848,"B","E","Georgia"
"GHA",0.908433285600535,0.192401077596366,"B","E","Ghana"
"GIN",-1.25832665411791,2.42798188710464,"E","D","Guinea"
"GMB",-0.253578274493877,2.21402508101357,"E","D","Gambia"
"GNB",-0.337377371727815,0.887957981022263,"E","D","Guinea-Bissau"
"GNQ",-0.585675956355216,2.07968374268862,"E","D","Equatorial Guinea"
"GRC",1.23350695688576,-1.85068357342415,"B","E","Greece"
"GTM",-1.22881452217938,2.06120843513545,"E","D","Guatemala"
"GUY",0.823091630486001,0.993645529035399,"B","E","Guyana"
"HND",-1.26140183853434,2.91282656185261,"E","D","Honduras"
"HRV",2.32162820362546,-0.895254810037245,"C","F","Croatia"
"HTI",-1.72363906922637,1.68334451592639,"E","D","Haiti"
"HUN",1.92249965427731,-0.775821596738093,"C","F","Hungary"
"IDN",-0.875050499915697,-0.159288250168489,"D","C","Indonesia"
"IND",-1.47252493021036,-0.267474056393542,"D","C","India"
"IRL",1.44407086876988,-0.229294940313269,"C","F","Ireland"
"IRN",-0.970105225414973,-0.103754442340195,"D","C","Iran"
"IRQ",-4.9759766738097,-0.534093186755714,"A","B","Iraq"
"ISL",2.628134735457,-0.294794833662239,"C","F","Iceland"
"ISR",0.51297210147851,-2.40988590145542,"B","E","Israel"
"ITA",1.27241826458582,-0.934521253760122,"C","F","Italy"
"JAM",-0.0287839223566076,3.35423732551454,"E","D","Jamaica"
"JOR",0.293412407954139,-0.369183743575992,"B","E","Jordan"
"JPN",1.74889100918298,-0.367464930397119,"C","F","Japan"
"KAZ",0.960729685374484,-0.475235884935812,"C","F","Kazakhstan"
"KEN",-1.85481713393946,0.509011392323669,"D","C","Kenya"
"KGZ",0.0685523056266741,-0.157336666410288,"B","E","Kyrgyzstan"
"KHM",0.378310109294389,0.0734276221696744,"B","E","Cambodia"
"KOR",2.08665000302534,-1.03464451638598,"C","F","Korea"
"KWT",1.01782758797396,-0.174445341141351,"B","E","Kuwait"
"LAO",-0.0857093444880789,1.07106092571117,"E","D","Lao People’s Democratic Republic"
"LBN",-1.43245222259136,-0.459384873870987,"D","C","Lebanon"
"LBR",-0.297958403871362,1.1063150690767,"E","D","Liberia"
"LBY",-5.40802724382084,-0.410099302400517,"A","B","Libya"
"LKA",0.141638335595744,-0.429259330859226,"B","E","Sri Lanka"
"LSO",-0.789056628187066,2.91423002812618,"E","D","Lesotho"
