"iso3c","PC1","PC2","cut","cluster","countryname"
"AFG",-2.08738734290627,0.104047409708451,"A","A","Afghanistan"
"AGO",-1.89276725714955,-1.14479475851514,"B","C","Angola"
"ALB",1.93096156454558,0.5656549180961,"C","E","Albania"
"ARE",-0.991757534376632,1.92942053338411,"D","B","United Arab Emirates"
"ARG",1.27118736817162,-0.475517808263461,"C","E","Argentina"
"ARM",1.4667573240331,0.627451042432072,"C","E","Armenia"
"AUS",2.3319868256205,-0.353960334677304,"C","E","Australia"
"AUT",2.9150240548601,0.536239419362895,"E","F","Austria"
"AZE",-2.1826217138786,0.823158304790389,"A","A","Azerbaijan"
"BDI",-3.45550175286717,-0.194915500416093,"A","A","Burundi"
"BEL",3.22312962767131,0.75519138207371,"E","F","Belgium"
"BEN",0.72342342557455,-1.77857028960498,"F","D","Benin"
"BFA",-0.506146539531334,-1.66818543644491,"F","D","Burkina Faso"
"BGD",-1.71342626121345,-0.0424383533143315,"A","A","Bangladesh"
"BGR",1.58605228764189,0.59773367889263,"C","E","Bulgaria"
"BHR",-3.707160941796,1.71727203558167,"A","A","Bahrain"
"BIH",0.817544992059676,0.92824735721443,"C","E","Bosnia and Herzegovina"
"BLR",0.281868077330039,2.4726575346061,"D","B","Belarus"
"BOL",-0.168545163917586,-0.655924116249152,"B","C","Bolivia"
"BRA",0.0356348525707782,-0.72366849338543,"B","C","Brazil"
"BRB",2.58960583873298,0.75797957499732,"E","F","Barbados"
"BRN",1.23865447300662,0.456950884999889,"C","E","Brunei Darussalam"
"BTN",0.666748427567652,-0.35813679808139,"C","E","Bhutan"
"BWA",0.0631996674554124,-1.72661097087993,"F","D","Botswana"
"CAF",-2.59923589558369,-1.91932278933635,"B","C","Central African Republic"
"CAN",2.76039399602516,0.00925519480273157,"E","F","Canada"
"CHE",3.30604084695477,0.263772771697044,"E","F","Switzerland"
"CHL",1.28093075015755,-0.990783396605831,"C","E","Chile"
"CHN",-1.87654599612688,2.06546498672857,"D","B","China (People’s Republic of)"
"CIV",-0.97165046572519,-1.71007563392716,"B","C","Côte d’Ivoire"
"CMR",-2.6235768480321,-0.775778718355601,"A","A","Cameroon"
"COD",-3.057239959592,-0.784629250864948,"A","A","Democratic Republic of the Congo"
"COG",-2.76835054708679,-0.344052321926345,"A","A","Congo"
"COL",-1.04666692866398,-0.994043762843619,"B","C","Colombia"
"COM",-0.62354616317778,-0.758442558765515,"B","C","Comoros"
"CPV",1.4615306629296,-1.10159693984649,"C","E","Cabo Verde"
"CRI",1.88569068103821,-1.48242668946474,"C","E","Costa Rica"
"CUB",-1.0983789848912,2.96488272476455,"D","B","Cuba"
"CYP",2.41626075199917,0.136149256058066,"E","F","Cyprus"
"CZE",2.76201517321906,0.974877325062337,"E","F","Czech Republic"
"DEU",3.05989754601955,0.322558338201068,"E","F","Germany"
"DJI",-0.771017899951764,-0.264570532496235,"B","C","Djibouti"
"DNK",3.50563545496857,0.427110484983052,"E","F","Denmark"
"DOM",-0.231663124394943,-0.316616825567472,"B","C","Dominican Republic"
"DZA",-1.08551548286398,0.483507826652053,"B","C","Algeria"
"ECU",-0.179512627093041,-0.686369774644884,"B","C","Ecuador"
"EGY",-2.64035620703284,0.454850142866074,"A","A","Egypt"
"ERI",-3.63676077435612,1.33660418850864,"A","A","Eritrea"
"ESP",2.59861373250221,0.369413760070928,"E","F","Spain"
"EST",2.94166586125862,0.395496769395479,"E","F","Estonia"
"ETH",-2.10069635007514,0.288595419661288,"A","A","Ethiopia"
"FIN",3.36184839684271,0.911270270811906,"E","F","Finland"
"FJI",0.490539767568516,-0.464306076349179,"C","E","Fiji"
"FRA",2.75617592731353,0.675616713432386,"E","F","France"
"GAB",0.0983393254460583,-1.34573081085744,"F","D","Gabon"
"GBR",2.37620530939653,0.29199859717629,"E","F","United Kingdom"
"GEO",1.01398718275887,-0.502764307590714,"C","E","Georgia"
"GHA",0.688791437006553,-1.62592080331952,"F","D","Ghana"
"GIN",-0.917831760938813,-0.3790550507205,"B","C","Guinea"
"GMB",0.206383304770843,-2.33667367264145,"F","D","Gambia"
"GNB",-1.16293285000207,-0.907210187258096,"B","C","Guinea-Bissau"
