"cluster","variablename","mean.banded","rank","type","degree","colour"
"A","Aid dependency (R)",0.581666666666667,"3","Risks","*","Aqua"
"A","Debt (R)",0.337833055557946,"2","Risks",NA,"Aqua"
"A","Education (C)",0.679891909076458,"2","Coping Capacity",NA,"Aqua"
"A","Food insecurity (C)",0.619791666666667,"3","Coping Capacity","*","Aqua"
"A","GDP growth (R)",0.457795520868519,"3","Risks","*","Aqua"
"A","NEET (R)",0.625423692590455,"2","Risks",NA,"Aqua"
"A","Regulatory quality (C)",0.790604852378365,"2","Coping Capacity",NA,"Aqua"
"A","Remoteness (C)",0.282865604421592,"2","Coping Capacity",NA,"Aqua"
"A","Resource dependence (R)",0.25931704913029,"2","Risks",NA,"Aqua"
"A","Share of women in labour force (C)",0.858819993077049,"3","Coping Capacity","*","Aqua"
"A","Socio-economic vulnerability (R)",0.698863636363636,"2","Risks",NA,"Aqua"
"A","Unemployment rate (R)",0.472392377093323,"2","Risks",NA,"Aqua"
"B","Aid dependency (R)",0.326129032258064,"2","Risks",NA,"Olive"
"B","Debt (R)",0.185562151159471,"2","Risks",NA,"Olive"
"B","Education (C)",0.731453535773071,"3","Coping Capacity","*","Olive"
"B","Food insecurity (C)",0.719422043010753,"3","Coping Capacity","*","Olive"
"B","GDP growth (R)",0.327740492941836,"2","Risks",NA,"Olive"
"B","NEET (R)",0.427006020595359,"2","Risks",NA,"Olive"
"B","Regulatory quality (C)",0.693439571130486,"2","Coping Capacity",NA,"Olive"
"B","Remoteness (C)",0.609401839545707,"2","Coping Capacity",NA,"Olive"
"B","Resource dependence (R)",0.395537997104901,"2","Risks",NA,"Olive"
"B","Share of women in labour force (C)",0.171038716241945,"1","Coping Capacity","*","Olive"
"B","Socio-economic vulnerability (R)",0.721041055718475,"3","Risks","*","Olive"
"B","Unemployment rate (R)",0.132004642886467,"2","Risks",NA,"Olive"
"C","Aid dependency (R)",0.275,"2","Risks",NA,"Violet"
"C","Debt (R)",0.256794209511054,"2","Risks",NA,"Violet"
"C","Education (C)",0.619716478085577,"2","Coping Capacity",NA,"Violet"
"C","Food insecurity (C)",0.370738636363636,"2","Coping Capacity",NA,"Violet"
"C","GDP growth (R)",0.275984608412771,"2","Risks",NA,"Violet"
"C","NEET (R)",0.531780587175856,"2","Risks",NA,"Violet"
"C","Regulatory quality (C)",0.647662500836762,"2","Coping Capacity",NA,"Violet"
"C","Remoteness (C)",0.545509726220555,"2","Coping Capacity",NA,"Violet"
"C","Resource dependence (R)",0.235537356176923,"2","Risks",NA,"Violet"
"C","Share of women in labour force (C)",0.418719066233031,"2","Coping Capacity",NA,"Violet"
"C","Socio-economic vulnerability (R)",0.586260330578512,"2","Risks",NA,"Violet"
"C","Unemployment rate (R)",0.369153261899461,"2","Risks",NA,"Violet"
"D","Aid dependency (R)",0.103606557377049,"2","Risks",NA,"Pink"
"D","Debt (R)",0.198367615601815,"2","Risks",NA,"Pink"
"D","Education (C)",0.40343347639485,"2","Coping Capacity",NA,"Pink"
"D","Food insecurity (C)",0.279371584699454,"2","Coping Capacity",NA,"Pink"
"D","GDP growth (R)",0.259310446037106,"2","Risks",NA,"Pink"
"D","NEET (R)",0.358319222801358,"2","Risks",NA,"Pink"
"D","Regulatory quality (C)",0.513071853656539,"2","Coping Capacity",NA,"Pink"
"D","Remoteness (C)",0.502312977983646,"2","Coping Capacity",NA,"Pink"
"D","Resource dependence (R)",0.161666636292182,"2","Risks",NA,"Pink"
"D","Share of women in labour force (C)",0.347538653416088,"2","Coping Capacity",NA,"Pink"
"D","Socio-economic vulnerability (R)",0.35096870342772,"2","Risks",NA,"Pink"
"D","Unemployment rate (R)",0.167897743426533,"2","Risks",NA,"Pink"
"E","Aid dependency (R)",0.166111111111111,"2","Risks",NA,"Brown"
"E","Debt (R)",0.31119831632736,"2","Risks",NA,"Brown"
"E","Education (C)",0.322524240979177,"2","Coping Capacity",NA,"Brown"
"E","Food insecurity (C)",0.141203703703704,"1","Coping Capacity","*","Brown"
"E","GDP growth (R)",0.258768402358299,"2","Risks",NA,"Brown"
"E","NEET (R)",0.468622883318017,"2","Risks",NA,"Brown"
"E","Regulatory quality (C)",0.475566971920573,"2","Coping Capacity",NA,"Brown"
"E","Remoteness (C)",0.145356257367498,"2","Coping Capacity",NA,"Brown"
"E","Resource dependence (R)",0.0802111717886836,"2","Risks",NA,"Brown"
"E","Share of women in labour force (C)",0.525004396085626,"2","Coping Capacity",NA,"Brown"
"E","Socio-economic vulnerability (R)",0.263888888888889,"2","Risks",NA,"Brown"
"E","Unemployment rate (R)",0.490181624986772,"2","Risks",NA,"Brown"
"F","Aid dependency (R)",0.0216216216216216,"1","Risks","*","Grey"
"F","Debt (R)",0.256368566396019,"2","Risks",NA,"Grey"
"F","Education (C)",0.112322623052237,"1","Coping Capacity","*","Grey"
"F","Food insecurity (C)",0.126126126126126,"1","Coping Capacity","*","Grey"
"F","GDP growth (R)",0.240684312512116,"2","Risks",NA,"Grey"
"F","NEET (R)",0.172107941755951,"1","Risks","*","Grey"
"F","Regulatory quality (C)",0.173204371084816,"1","Coping Capacity","*","Grey"
"F","Remoteness (C)",0.022376297397026,"1","Coping Capacity","*","Grey"
"F","Resource dependence (R)",0.0244116200326772,"2","Risks",NA,"Grey"
"F","Share of women in labour force (C)",0.230009141300707,"1","Coping Capacity","*","Grey"
"F","Socio-economic vulnerability (R)",0.0528255528255528,"1","Risks","*","Grey"
"F","Unemployment rate (R)",0.169702563962428,"2","Risks",NA,"Grey"
