"cluster","variablename","mean.banded","rank","type","degree","colour"
"A","Disaster risk (R)",0.473780487804878,"2","Risks",NA,"Aqua"
"A","Environmental performance (R)",0.747552369839418,"3","Risks","*","Aqua"
"A","Food insecurity (C)",0.67109375,"3","Coping Capacity","*","Aqua"
"A","Government effectiveness (C)",0.700032610300236,"3","Coping Capacity","*","Aqua"
"A","Infectious diseases (R)",0.501724689791856,"3","Risks","*","Aqua"
"A","Rule of law (C)",0.6686903410134,"2","Coping Capacity",NA,"Aqua"
"A","Socio-economic vulnerability (R)",0.728977272727273,"3","Risks","*","Aqua"
"A","Strength of civil society (C)",0.374291710388248,"2","Coping Capacity",NA,"Aqua"
"A","Urbanisation (R)",0.695230219387063,"3","Risks","*","Aqua"
"B","Disaster risk (R)",0.685975609756097,"3","Risks","*","Olive"
"B","Environmental performance (R)",0.732427626826693,"3","Risks","*","Olive"
"B","Food insecurity (C)",0.478645833333333,"3","Coping Capacity","*","Olive"
"B","Government effectiveness (C)",0.672176762375817,"3","Coping Capacity","*","Olive"
"B","Infectious diseases (R)",0.170430861471039,"2","Risks",NA,"Olive"
"B","Rule of law (C)",0.683227790091498,"2","Coping Capacity",NA,"Olive"
"B","Socio-economic vulnerability (R)",0.597727272727273,"3","Risks","*","Olive"
"B","Strength of civil society (C)",0.508184679958027,"2","Coping Capacity",NA,"Olive"
"B","Urbanisation (R)",0.573516544958716,"2","Risks",NA,"Olive"
"C","Disaster risk (R)",0.355534709193246,"2","Risks",NA,"Violet"
"C","Environmental performance (R)",0.589277700129509,"2","Risks",NA,"Violet"
"C","Food insecurity (C)",0.292467948717949,"2","Coping Capacity",NA,"Violet"
"C","Government effectiveness (C)",0.511696534113822,"2","Coping Capacity",NA,"Violet"
"C","Infectious diseases (R)",0.164748370195573,"2","Risks",NA,"Violet"
"C","Rule of law (C)",0.478395100333201,"2","Coping Capacity",NA,"Violet"
"C","Socio-economic vulnerability (R)",0.468531468531468,"2","Risks",NA,"Violet"
"C","Strength of civil society (C)",0.195092420695778,"2","Coping Capacity",NA,"Violet"
"C","Urbanisation (R)",0.526402758103725,"2","Risks",NA,"Violet"
"D","Disaster risk (R)",0.66411149825784,"3","Risks","*","Pink"
"D","Environmental performance (R)",0.510446661745211,"2","Risks",NA,"Pink"
"D","Food insecurity (C)",0.228571428571429,"2","Coping Capacity",NA,"Pink"
"D","Government effectiveness (C)",0.543836117489554,"2","Coping Capacity",NA,"Pink"
"D","Infectious diseases (R)",0.0579956639117249,"2","Risks",NA,"Pink"
"D","Rule of law (C)",0.607184744063451,"2","Coping Capacity",NA,"Pink"
"D","Socio-economic vulnerability (R)",0.327272727272727,"2","Risks",NA,"Pink"
"D","Strength of civil society (C)",0.495008244640983,"2","Coping Capacity",NA,"Pink"
"D","Urbanisation (R)",0.462913202233767,"2","Risks",NA,"Pink"
"E","Disaster risk (R)",0.467317073170732,"2","Risks",NA,"Brown"
"E","Environmental performance (R)",0.387174529088181,"1","Risks","*","Brown"
"E","Food insecurity (C)",0.169375,"2","Coping Capacity",NA,"Brown"
"E","Government effectiveness (C)",0.349943932800713,"1","Coping Capacity","*","Brown"
"E","Infectious diseases (R)",0.0477984523267448,"2","Risks",NA,"Brown"
"E","Rule of law (C)",0.352110247871047,"1","Coping Capacity","*","Brown"
"E","Socio-economic vulnerability (R)",0.169545454545455,"1","Risks","*","Brown"
"E","Strength of civil society (C)",0.180565232598811,"2","Coping Capacity",NA,"Brown"
"E","Urbanisation (R)",0.317108604707125,"1","Risks","*","Brown"
"F","Disaster risk (R)",0.186513629842181,"1","Risks","*","Grey"
"F","Environmental performance (R)",0.152437170901033,"1","Risks","*","Grey"
"F","Food insecurity (C)",0.102328431372549,"2","Coping Capacity",NA,"Grey"
"F","Government effectiveness (C)",0.144600155945941,"1","Coping Capacity","*","Grey"
"F","Infectious diseases (R)",0.047802322096433,"2","Risks",NA,"Grey"
"F","Rule of law (C)",0.0952222128779164,"1","Coping Capacity","*","Grey"
"F","Socio-economic vulnerability (R)",0.0247326203208556,"1","Risks","*","Grey"
"F","Strength of civil society (C)",0.0565397197703845,"2","Coping Capacity",NA,"Grey"
"F","Urbanisation (R)",0.353760527292262,"2","Risks",NA,"Grey"
