"cluster","variablename","mean.banded","rank","type","degree","colour"
"A","Clientelism (R)",0.827505827505827,"3","Risks","*","Aqua"
"A","Corruption (R)",0.912228796844181,"3","Risks","*","Aqua"
"A","Government effectiveness (C)",0.837493037761662,"3","Coping Capacity","*","Aqua"
"A","Judicial constraints (C)",0.902975625197847,"3","Coping Capacity","*","Aqua"
"A","Legislative constraints (C)",0.841356492969396,"3","Coping Capacity","*","Aqua"
"A","Physical integrity (R)",0.874412955465587,"3","Risks","*","Aqua"
"A","Regional government independence (C)",0.822425558312655,"2","Coping Capacity",NA,"Aqua"
"A","Stability (C)",0.686373071890211,"3","Coping Capacity","*","Aqua"
"A","Voice and accountability (C)",0.896373558114598,"3","Coping Capacity","*","Aqua"
"A","Women in parliament (C)",0.677876772493412,"2","Coping Capacity",NA,"Aqua"
"B","Clientelism (R)",0.74354657687991,"2","Risks",NA,"Olive"
"B","Corruption (R)",0.829059829059829,"3","Risks","*","Olive"
"B","Government effectiveness (C)",0.749238104933051,"3","Coping Capacity","*","Olive"
"B","Judicial constraints (C)",0.59619341563786,"2","Coping Capacity",NA,"Olive"
"B","Legislative constraints (C)",0.441487455197133,"2","Coping Capacity",NA,"Olive"
"B","Physical integrity (R)",0.655,"2","Risks",NA,"Olive"
"B","Regional government independence (C)",0.626428091397849,"2","Coping Capacity",NA,"Olive"
"B","Stability (C)",0.692051883467159,"3","Coping Capacity","*","Olive"
"B","Voice and accountability (C)",0.665867352531936,"2","Coping Capacity",NA,"Olive"
"B","Women in parliament (C)",0.794181620445894,"2","Coping Capacity",NA,"Olive"
"C","Clientelism (R)",0.611896745230079,"2","Risks",NA,"Violet"
"C","Corruption (R)",0.68954415954416,"2","Risks",NA,"Violet"
"C","Government effectiveness (C)",0.551956668574426,"2","Coping Capacity",NA,"Violet"
"C","Judicial constraints (C)",0.789506172839506,"3","Coping Capacity","*","Violet"
"C","Legislative constraints (C)",0.833333333333333,"3","Coping Capacity","*","Violet"
"C","Physical integrity (R)",0.599052631578947,"2","Risks",NA,"Violet"
"C","Regional government independence (C)",0.839247311827957,"2","Coping Capacity",NA,"Violet"
"C","Stability (C)",0.442222228335319,"2","Coping Capacity",NA,"Violet"
"C","Voice and accountability (C)",0.745450425355412,"2","Coping Capacity",NA,"Violet"
"C","Women in parliament (C)",0.592242160594526,"2","Coping Capacity",NA,"Violet"
"D","Clientelism (R)",0.620772946859903,"2","Risks",NA,"Pink"
"D","Corruption (R)",0.67809364548495,"2","Risks",NA,"Pink"
"D","Government effectiveness (C)",0.580820227814877,"2","Coping Capacity",NA,"Pink"
"D","Judicial constraints (C)",0.396179996421542,"2","Coping Capacity",NA,"Pink"
"D","Legislative constraints (C)",0.377956989247312,"2","Coping Capacity",NA,"Pink"
"D","Physical integrity (R)",0.276567505720824,"2","Risks",NA,"Pink"
"D","Regional government independence (C)",0.448084677419355,"2","Coping Capacity",NA,"Pink"
"D","Stability (C)",0.433673475665748,"2","Coping Capacity",NA,"Pink"
"D","Voice and accountability (C)",0.499396238708403,"2","Coping Capacity",NA,"Pink"
"D","Women in parliament (C)",0.735406766437336,"2","Coping Capacity",NA,"Pink"
"E","Clientelism (R)",0.385615413393191,"1","Risks","*","Brown"
"E","Corruption (R)",0.537884615384615,"1","Risks","*","Brown"
"E","Government effectiveness (C)",0.434915631836985,"1","Coping Capacity","*","Brown"
"E","Judicial constraints (C)",0.239334705075446,"1","Coping Capacity","*","Brown"
"E","Legislative constraints (C)",0.23926164874552,"1","Coping Capacity","*","Brown"
"E","Physical integrity (R)",0.120026315789474,"1","Risks","*","Brown"
"E","Regional government independence (C)",0.395714045698925,"2","Coping Capacity",NA,"Brown"
"E","Stability (C)",0.276907849795928,"1","Coping Capacity","*","Brown"
"E","Voice and accountability (C)",0.344293021360283,"1","Coping Capacity","*","Brown"
"E","Women in parliament (C)",0.605383360522023,"2","Coping Capacity",NA,"Brown"
"F","Clientelism (R)",0.0933848286789463,"1","Risks","*","Grey"
"F","Corruption (R)",0.210407239819005,"1","Risks","*","Grey"
"F","Government effectiveness (C)",0.192212807234171,"1","Coping Capacity","*","Grey"
"F","Judicial constraints (C)",0.0833938513677076,"1","Coping Capacity","*","Grey"
"F","Legislative constraints (C)",0.077798861480076,"1","Coping Capacity","*","Grey"
"F","Physical integrity (R)",0.0498142414860681,"1","Risks","*","Grey"
"F","Regional government independence (C)",0.241757590132827,"1","Coping Capacity","*","Grey"
"F","Stability (C)",0.157401119356082,"1","Coping Capacity","*","Grey"
"F","Voice and accountability (C)",0.13320867158003,"1","Coping Capacity","*","Grey"
"F","Women in parliament (C)",0.49659341713847,"2","Coping Capacity",NA,"Grey"
