"cluster","variablename","mean.banded","rank","type","degree","colour"
"A","Access to justice (C)",0.730524642289348,"3","Coping Capacity","*","Aqua"
"A","Gender inequality (R)",0.56073756980835,"2","Risks",NA,"Aqua"
"A","GINI (R)",0.316416969168965,"2","Risks",NA,"Aqua"
"A","Horizontal inequality (R)",0.642769821865176,"3","Risks","*","Aqua"
"A","Strength of civil society (C)",0.70369113017715,"3","Coping Capacity","*","Aqua"
"A","Uprooted people (R)",0.597352941176471,"2","Risks",NA,"Aqua"
"A","Urbanisation (R)",0.610417497283107,"2","Risks",NA,"Aqua"
"A","Voice and accountability (C)",0.786295260392048,"3","Coping Capacity","*","Aqua"
"B","Access to justice (C)",0.599099099099099,"3","Coping Capacity","*","Olive"
"B","Gender inequality (R)",0.273456015614108,"2","Risks",NA,"Olive"
"B","GINI (R)",0.19059255311877,"2","Risks",NA,"Olive"
"B","Horizontal inequality (R)",0.52794271742927,"2","Risks",NA,"Olive"
"B","Strength of civil society (C)",0.716684155299056,"3","Coping Capacity","*","Olive"
"B","Uprooted people (R)",0.251666666666667,"2","Risks",NA,"Olive"
"B","Urbanisation (R)",0.354208719849208,"2","Risks",NA,"Olive"
"B","Voice and accountability (C)",0.770979932608006,"3","Coping Capacity","*","Olive"
"C","Access to justice (C)",0.460792153099845,"2","Coping Capacity",NA,"Violet"
"C","Gender inequality (R)",0.56934015378181,"2","Risks",NA,"Violet"
"C","GINI (R)",0.45748277766048,"3","Risks","*","Violet"
"C","Horizontal inequality (R)",0.461345907556177,"2","Risks",NA,"Violet"
"C","Strength of civil society (C)",0.298140823849113,"2","Coping Capacity",NA,"Violet"
"C","Uprooted people (R)",0.50974358974359,"2","Risks",NA,"Violet"
"C","Urbanisation (R)",0.574502709484871,"2","Risks",NA,"Violet"
"C","Voice and accountability (C)",0.554342032974481,"2","Coping Capacity",NA,"Violet"
"D","Access to justice (C)",0.200912450912451,"2","Coping Capacity",NA,"Pink"
"D","Gender inequality (R)",0.636172684604303,"2","Risks",NA,"Pink"
"D","GINI (R)",0.452228094979985,"3","Risks","*","Pink"
"D","Horizontal inequality (R)",0.278505452710832,"2","Risks",NA,"Pink"
"D","Strength of civil society (C)",0.102075317710155,"2","Coping Capacity",NA,"Pink"
"D","Uprooted people (R)",0.359444444444444,"2","Risks",NA,"Pink"
"D","Urbanisation (R)",0.67059133357813,"2","Risks",NA,"Pink"
"D","Voice and accountability (C)",0.421835655245689,"2","Coping Capacity",NA,"Pink"
"E","Access to justice (C)",0.186145056876764,"2","Coping Capacity",NA,"Brown"
"E","Gender inequality (R)",0.321316726341667,"2","Risks",NA,"Brown"
"E","GINI (R)",0.300359453138107,"2","Risks",NA,"Brown"
"E","Horizontal inequality (R)",0.307118293676824,"2","Risks",NA,"Brown"
"E","Strength of civil society (C)",0.163205623661693,"2","Coping Capacity",NA,"Brown"
"E","Uprooted people (R)",0.244634146341463,"2","Risks",NA,"Brown"
"E","Urbanisation (R)",0.370837982484717,"2","Risks",NA,"Brown"
"E","Voice and accountability (C)",0.34743824679699,"2","Coping Capacity",NA,"Brown"
"F","Access to justice (C)",0.0341694051371471,"1","Coping Capacity","*","Grey"
"F","Gender inequality (R)",0.0674302829157729,"1","Risks","*","Grey"
"F","GINI (R)",0.12295901512036,"1","Risks","*","Grey"
"F","Horizontal inequality (R)",0.158253805505166,"1","Risks","*","Grey"
"F","Strength of civil society (C)",0.0743323291473445,"2","Coping Capacity",NA,"Grey"
"F","Uprooted people (R)",0.43741935483871,"2","Risks",NA,"Grey"
"F","Urbanisation (R)",0.306735171145355,"2","Risks",NA,"Grey"
"F","Voice and accountability (C)",0.123763634565315,"1","Coping Capacity","*","Grey"
